Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive,ALL_SKIN_TYPES_COUNT,Suitable_For_All_Skin
Eye Cream,DRUNK ELEPHANT,DRUNK ELEPHANT Peptide Eye Complex #766,31.83,4.4,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,0,0,0,1,2,No
Cleanser,GLOW RECIPE,GLOW RECIPE Foaming Facial Cleanser #767,63.37,4.8,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,0,0,3,No
Treatment,KATE SOMERVILLE,KATE SOMERVILLE Resurfacing Serum #768,81.33,3.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,0,1,0,3,No
Moisturizer,BELIF,BELIF C-Firma Fresh Day Serum #769,89.92,3.9,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,0,1,1,1,4,No
Moisturizer,SUNDAY RILEY,SUNDAY RILEY Honeymoon Glow AHA #770,56.78,4.5,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,1,1,1,1,4,No
Sun Protect,CLINIQUE,CLINIQUE City Sunscreen Serum #771,81.65,4.1,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,1,0,4,No
Face Mask,HERBIVORE,HERBIVORE Charcoal Pore Minimizing Mask #772,37.88,4.7,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,1,1,5,Yes
Cleanser,SUNDAY RILEY,SUNDAY RILEY Soy Face Cleanser #773,82.25,3.6,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,0,1,4,No
Sun Protect,TATCHA,TATCHA Hydro UV Defense SPF 50 #774,330.34,4.4,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,1,5,Yes
Eye Cream,LA MER,LA MER Banana Bright Eye Crème #775,319.0,4.6,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Face Mask,SK-II,SK-II Jet Lag Mask #776,192.76,3.7,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,0,0,3,No
Moisturizer,DRAUNK ELEPHANT,DRAUNK ELEPHANT C-Firma Fresh Day Serum #777,33.26,3.9,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,0,1,1,4,No
Cleanser,ESTÉE LAUDER,ESTÉE LAUDER Green Clean Makeup Mending Cleansing Balm #778,54.67,3.7,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,0,0,1,3,No
Cleanser,SUNDAY RILEY,SUNDAY RILEY Superfood Antioxidant Cleanser #779,79.9,4.0,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,1,5,Yes
Sun Protect,KATE SOMERVILLE,KATE SOMERVILLE Defense Refresh Setting Mist #780,38.75,4.8,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,1,0,4,No
Sun Protect,ORIGINS,ORIGINS Hydro UV Defense SPF 50 #781,65.46,3.9,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,1,1,1,0,3,No
Moisturizer,FARMACY,FARMACY The True Cream Aqua Bomb #782,44.33,4.0,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Treatment,LANCÔME,LANCÔME Retinol Reform #783,56.31,4.4,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,0,1,1,0,2,No
Sun Protect,DRUNK ELEPHANT,DRUNK ELEPHANT Defense Refresh Setting Mist #784,92.09,4.0,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,0,4,No
Cleanser,KATE SOMERVILLE,KATE SOMERVILLE Soy Face Cleanser #785,101.97,4.4,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,0,1,4,No
Sun Protect,LA MER,LA MER Unseen Sunscreen SPF 40 #786,347.26,3.5,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,0,1,4,No
Cleanser,ESTÉE LAUDER,ESTÉE LAUDER Special Cleansing Gel #787,67.64,4.0,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,0,1,4,No
Cleanser,THE ORDINARY,THE ORDINARY Superfood Antioxidant Cleanser #788,11.28,4.1,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,0,0,1,0,2,No
Face Mask,BIOSSANCE,BIOSSANCE Water Sleeping Mask #789,64.48,4.0,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,1,0,1,1,3,No
Face Mask,KIEHL'S SINCE 1851,KIEHL'S SINCE 1851 Charcoal Pore Minimizing Mask #790,101.96,3.9,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,1,1,5,Yes
Treatment,DERMALOGICA,DERMALOGICA Resurfacing Serum #791,56.26,4.3,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,0,0,0,2,No
Cleanser,LA MER,LA MER Soy Face Cleanser #792,344.88,4.5,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,0,1,0,2,No
Face Mask,LANEIGE,LANEIGE Superberry Hydrate + Glow Dream Mask #793,79.13,4.3,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,0,0,0,2,No
Face Mask,SHISEIDO,SHISEIDO Charcoal Pore Minimizing Mask #794,102.53,4.5,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,0,1,1,1,3,No
Sun Protect,THE ORDINARY,THE ORDINARY Mineral Mattescreen SPF 30 #795,14.17,4.8,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,0,4,No
Treatment,THE ORDINARY,THE ORDINARY Retinol Reform #796,7.19,4.6,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,1,1,0,1,3,No
Cleanser,KORA ORGANICS,KORA ORGANICS Superfood Antioxidant Cleanser #797,83.5,4.2,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,0,0,1,1,2,No
Sun Protect,OLEHENRIKSEN,OLEHENRIKSEN Mineral Mattescreen SPF 30 #798,47.14,3.7,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,0,1,0,1,2,No
Moisturizer,BELIF,BELIF The Water Cream #799,90.54,4.0,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,0,0,3,No
Cleanser,CLINIQUE,CLINIQUE Special Cleansing Gel #800,65.84,4.2,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",0,1,1,0,1,3,No
Sun Protect,GLOW RECIPE,GLOW RECIPE Mineral Mattescreen SPF 30 #801,46.3,4.8,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",0,1,1,1,0,3,No
Moisturizer,BIOSSANCE,BIOSSANCE The Water Cream #802,47.8,3.9,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,0,1,1,4,No
Moisturizer,HERBIVORE,HERBIVORE Crème de la Mer #803,81.22,4.6,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,0,4,No
Face Mask,MARIO BADESCU,MARIO BADESCU Charcoal Pore Minimizing Mask #804,52.98,4.0,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,0,1,1,1,4,No
Face Mask,TATCHA,TATCHA Superberry Hydrate + Glow Dream Mask #805,348.19,4.6,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",0,1,1,1,1,4,No
Eye Cream,HERBIVORE,HERBIVORE Peptide Eye Complex #806,88.62,3.8,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",0,1,1,1,0,3,No
Moisturizer,MURAD,MURAD Crème de la Mer #807,107.39,4.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,1,0,1,1,3,No
Treatment,KORA ORGANICS,KORA ORGANICS Niacinamide 10% + Zinc 1% #808,108.87,4.7,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",0,0,1,0,1,2,No
Cleanser,LANEIGE,LANEIGE Green Clean Makeup Mending Cleansing Balm #809,49.92,4.4,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,1,0,1,1,3,No
Sun Protect,KATE SOMERVILLE,KATE SOMERVILLE Mineral Mattescreen SPF 30 #810,44.93,3.7,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,0,1,0,3,No
Treatment,BIOSSANCE,BIOSSANCE Resurfacing Serum #811,42.95,3.8,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,0,1,0,3,No
Cleanser,SUNDAY RILEY,SUNDAY RILEY Kalie Squalane Cleanser #812,56.42,4.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,1,1,0,0,2,No
Moisturizer,CAUDALIE,CAUDALIE The Water Cream #813,33.58,3.9,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,0,0,3,No
Face Mask,LA MER,LA MER Superberry Hydrate + Glow Dream Mask #814,112.95,4.2,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",0,0,1,0,0,1,No
Moisturizer,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE Crème de la Mer #815,70.29,4.1,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,0,1,0,3,No
Eye Cream,CAUDALIE,CAUDALIE Autocorrect Brightening Eye Cream #816,88.25,4.7,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,0,1,1,0,3,No
Sun Protect,MARIO BADESCU,MARIO BADESCU Hydro UV Defense SPF 50 #817,95.27,4.1,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,1,1,0,0,2,No
Sun Protect,PAULA'S CHOICE,PAULA'S CHOICE Hydro UV Defense SPF 50 #818,87.27,4.8,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,1,1,0,1,3,No
Eye Cream,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE Concentrate Eye Cream #819,60.33,4.1,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,1,1,0,3,No
Sun Protect,LANCÔME,LANCÔME Hydro UV Defense SPF 50 #820,97.64,4.0,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Eye Cream,CLINIQUE,CLINIQUE Avocado Melt Retinol Eye Cream #821,83.85,3.8,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Sun Protect,BELIF,BELIF Hydro UV Defense SPF 50 #822,91.55,4.7,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",0,1,1,1,0,3,No
Face Mask,GLOW RECIPE,GLOW RECIPE Jet Lag Mask #823,34.09,4.2,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,0,0,1,2,No
Moisturizer,THE ORDINARY,THE ORDINARY Midnight Recovery Concentrate #824,14.33,4.4,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,1,0,1,0,2,No
Sun Protect,SUPERGOOP!,SUPERGOOP! City Sunscreen Serum #825,25.0,3.6,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",0,1,1,1,0,3,No
Sun Protect,BELIF,BELIF Defense Refresh Setting Mist #826,39.57,4.1,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,0,1,1,0,2,No
Moisturizer,KATE SOMERVILLE,KATE SOMERVILLE Protini Polypeptide Cream #827,58.86,4.5,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",0,1,1,0,1,3,No
Cleanser,GLOW RECIPE,GLOW RECIPE Soy Face Cleanser #828,71.71,4.6,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,0,1,4,No
Eye Cream,SHISEIDO,SHISEIDO Banana Bright Eye Crème #829,31.28,3.6,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,0,1,0,3,No
Treatment,DRUNK ELEPHANT,DRUNK ELEPHANT Resurfacing Serum #830,80.69,4.1,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,0,1,0,1,2,No
Sun Protect,DRUNK ELEPHANT,DRUNK ELEPHANT Mineral Mattescreen SPF 30 #831,27.16,3.6,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Sun Protect,KORA ORGANICS,KORA ORGANICS Unseen Sunscreen SPF 40 #832,71.29,3.8,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,0,1,0,3,No
Sun Protect,KORA ORGANICS,KORA ORGANICS Hydro UV Defense SPF 50 #833,36.32,3.7,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,0,1,4,No
Cleanser,ORIGINS,ORIGINS Foaming Facial Cleanser #834,56.59,4.8,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,1,1,1,4,No
Moisturizer,IT COSMETICS,IT COSMETICS The Water Cream #835,55.2,3.9,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,1,5,Yes
Face Mask,PAULA'S CHOICE,PAULA'S CHOICE Babyfacial AHA/BHA Mask #836,105.85,4.6,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,0,0,1,0,2,No
Sun Protect,CAUDALIE,CAUDALIE Defense Refresh Setting Mist #837,47.31,3.5,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,0,0,0,0,1,No
Sun Protect,KATE SOMERVILLE,KATE SOMERVILLE Defense Refresh Setting Mist #838,75.14,4.7,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,0,1,0,0,2,No
Cleanser,BIOSSANCE,BIOSSANCE Superfood Antioxidant Cleanser #839,28.55,4.5,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,0,0,1,3,No
Treatment,DERMALOGICA,DERMALOGICA Resurfacing Serum #840,47.72,4.0,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,0,1,1,1,4,No
Treatment,KIEHL'S SINCE 1851,KIEHL'S SINCE 1851 Good Genes All-In-One Lactic Acid #841,30.6,3.8,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,1,5,Yes
Moisturizer,KORA ORGANICS,KORA ORGANICS C-Firma Fresh Day Serum #842,104.19,3.6,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,0,1,4,No
Sun Protect,KORA ORGANICS,KORA ORGANICS Hydro UV Defense SPF 50 #843,69.95,3.9,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,0,0,3,No
Moisturizer,MURAD,MURAD Protini Polypeptide Cream #844,68.18,4.8,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",0,1,1,1,1,4,No
Treatment,THE ORDINARY,THE ORDINARY Good Genes All-In-One Lactic Acid #845,11.35,4.1,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,0,0,0,2,No
Sun Protect,TULA,TULA Unseen Sunscreen SPF 40 #846,104.45,4.7,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,0,1,1,0,3,No
Treatment,OLEHENRIKSEN,OLEHENRIKSEN Good Genes All-In-One Lactic Acid #847,24.44,4.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,0,1,1,1,3,No
Face Mask,LANCÔME,LANCÔME Jet Lag Mask #848,69.5,4.7,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,0,0,3,No
Cleanser,MARIO BADESCU,MARIO BADESCU Foaming Facial Cleanser #849,56.19,3.9,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,0,1,0,3,No
Cleanser,OLEHENRIKSEN,OLEHENRIKSEN Foaming Facial Cleanser #850,24.5,4.7,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,1,5,Yes
Cleanser,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE Foaming Facial Cleanser #851,87.98,4.8,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Face Mask,LANEIGE,LANEIGE Charcoal Pore Minimizing Mask #852,82.63,3.6,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",0,1,1,1,1,4,No
Cleanser,SEPHORA COLLECTION,SEPHORA COLLECTION Kalie Squalane Cleanser #853,14.5,4.6,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,0,1,1,3,No
Face Mask,CAUDALIE,CAUDALIE Superberry Hydrate + Glow Dream Mask #854,65.79,4.5,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Treatment,THE ORDINARY,THE ORDINARY Hyaluronic Acid 2% + B5 #855,9.98,4.5,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,0,1,4,No
Cleanser,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE Soy Face Cleanser #856,47.55,3.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,1,1,1,1,4,No
Face Mask,DRAUNK ELEPHANT,DRAUNK ELEPHANT Clay Detox Mask #857,50.35,4.3,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,0,1,1,3,No
Eye Cream,KORA ORGANICS,KORA ORGANICS Peptide Eye Complex #858,28.44,3.6,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,0,0,0,0,1,No
Moisturizer,GLOW RECIPE,GLOW RECIPE Crème de la Mer #859,24.05,4.4,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,0,0,1,1,3,No
Face Mask,GLOW RECIPE,GLOW RECIPE Superberry Hydrate + Glow Dream Mask #860,105.56,3.9,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,0,0,3,No
Treatment,MURAD,MURAD Vitamin C Brightening Serum #861,44.49,3.8,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,1,1,0,1,3,No
Moisturizer,LANCÔME,LANCÔME Ultra Facial Cream #862,84.6,4.8,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,0,0,0,0,1,No
Moisturizer,CLINIQUE,CLINIQUE Ultra Facial Cream #863,59.97,4.5,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,0,0,1,1,3,No
Moisturizer,MARIO BADESCU,MARIO BADESCU Midnight Recovery Concentrate #864,69.04,4.8,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,0,1,1,1,4,No
Eye Cream,TATCHA,TATCHA Peptide Eye Complex #865,150.16,4.6,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,0,1,1,4,No
Face Mask,HERBIVORE,HERBIVORE Water Sleeping Mask #866,39.83,3.6,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Treatment,HERBIVORE,HERBIVORE Good Genes All-In-One Lactic Acid #867,38.72,3.5,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Treatment,TATCHA,TATCHA BHA Liquid Exfoliant #868,381.97,3.7,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,0,1,1,1,4,No
Sun Protect,SHISEIDO,SHISEIDO Hydro UV Defense SPF 50 #869,35.49,4.7,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,0,4,No
Sun Protect,HERBIVORE,HERBIVORE Mineral Mattescreen SPF 30 #870,46.01,3.4,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,0,1,4,No
Cleanser,ORIGINS,ORIGINS Superfood Antioxidant Cleanser #871,41.54,4.3,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,1,0,4,No
Cleanser,MARIO BADESCU,MARIO BADESCU Green Clean Makeup Mending Cleansing Balm #872,66.65,4.1,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Treatment,FRESH,FRESH Retinol Reform #873,94.3,4.4,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Face Mask,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE Jet Lag Mask #874,86.29,3.6,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,0,1,1,4,No
Moisturizer,DRUNK ELEPHANT,DRUNK ELEPHANT Protini Polypeptide Cream #875,45.36,3.5,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Cleanser,CLINIQUE,CLINIQUE Micellar Cleansing Water #876,89.33,4.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,0,0,0,1,No
Moisturizer,KATE SOMERVILLE,KATE SOMERVILLE The True Cream Aqua Bomb #877,77.96,3.6,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,0,1,1,0,3,No
Moisturizer,PAULA'S CHOICE,PAULA'S CHOICE Crème de la Mer #878,43.49,4.0,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,0,1,1,4,No
Cleanser,FARMACY,FARMACY Special Cleansing Gel #879,32.75,4.8,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,0,1,1,1,4,No
Moisturizer,SEPHORA COLLECTION,SEPHORA COLLECTION Protini Polypeptide Cream #880,13.43,3.9,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,1,1,1,0,3,No
Moisturizer,HERBIVORE,HERBIVORE Honeymoon Glow AHA #881,80.91,4.8,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,0,0,3,No
Cleanser,BIOSSANCE,BIOSSANCE Micellar Cleansing Water #882,86.04,4.6,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,0,1,0,3,No
Moisturizer,ORIGINS,ORIGINS Protini Polypeptide Cream #883,39.64,4.0,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,0,1,0,2,No
Cleanser,THE ORDINARY,THE ORDINARY Foaming Facial Cleanser #884,13.28,4.1,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,1,0,1,1,3,No
Eye Cream,PAULA'S CHOICE,PAULA'S CHOICE Peptide Eye Complex #885,31.5,3.9,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,0,0,1,2,No
Moisturizer,OLEHENRIKSEN,OLEHENRIKSEN Lala Retro Whipped Cream #886,96.99,4.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Cleanser,PAULA'S CHOICE,PAULA'S CHOICE Soy Face Cleanser #887,88.24,3.6,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,0,4,No
